timeid,districtid,cases
2021-08-14,Tuensang,40
2021-08-14,Wokha,54
2021-08-14,Zunheboto,81
2021-08-14,Angul,165
2021-08-14,Balangir,43
2021-08-14,Balasore,580
2021-08-14,Bargarh,69
2021-08-14,Bhadrak,228
2021-08-14,Boudh,14
2021-08-14,Cuttack,1146
2021-08-14,Deogarh,33
2021-08-14,Dhenkanal,162
2021-08-14,Gajapati,21
2021-08-14,Ganjam,42
2021-08-14,Jagatsinghpur,468
2021-08-14,Jajpur,461
2021-08-14,Jharsuguda,38
2021-08-14,Kalahandi,39
2021-08-14,Kandhamal,75
2021-08-14,Kendrapara,243
2021-08-14,Kendujhar,110
2021-08-14,Khordha,3442
2021-08-14,Koraput,31
2021-08-14,Malkangiri,50
2021-08-14,Mayurbhanj,260
2021-08-14,Nabarangapur,13
2021-08-14,Nayagarh,253
2021-08-14,Nuapada,17
2021-08-14,Puri,329
2021-08-14,Rayagada,85
2021-08-14,Sambalpur,95
2021-08-14,State Pool,769
2021-08-14,Subarnapur,41
2021-08-14,Sundargarh,112
2021-08-14,Amritsar,49
2021-08-14,Barnala,17
2021-08-14,Bathinda,51
2021-08-14,Faridkot,14
2021-08-14,Fatehgarh Sahib,10
2021-08-14,Fazilka,36
2021-08-14,Ferozepur,12
2021-08-14,Gurdaspur,14
2021-08-14,Hoshiarpur,25
2021-08-14,Jalandhar,41
2021-08-14,Kapurthala,23
2021-08-14,Ludhiana,106
2021-08-14,Mansa,2
2021-08-14,Moga,12
2021-08-14,Pathankot,29
2021-08-14,Patiala,29
2021-08-14,Rupnagar,8
2021-08-14,S.A.S. Nagar,58
2021-08-14,Sangrur,7
2021-08-14,Shahid Bhagat Singh Nagar,7
2021-08-14,Sri Muktsar Sahib,8
2021-08-14,Tarn Taran,14
2021-08-14,Karaikal,124
2021-08-14,Mahe,173
2021-08-14,Puducherry,619
2021-08-14,Yanam,20
2021-08-14,Ajmer,15
2021-08-14,Alwar,14
2021-08-14,BSF Camp,0
2021-08-14,Banswara,3
