Stateid,timeid,dose1,dose2
CH,70,48697.0,22202.0
CH,71,38004.0,30968.0
CH,72,45069.0,26949.0
CH,73,64627.0,23069.0
CH,74,46970.0,26120.0
CT,1,0.0,0.0
CT,2,0.0,0.0
CT,3,0.0,0.0
CT,4,0.0,0.0
CT,5,0.0,0.0
CT,6,0.0,0.0
CT,7,0.0,0.0
CT,8,0.0,0.0
CT,9,0.0,0.0
CT,10,0.0,0.0
CT,11,0.0,0.0
CT,12,0.0,0.0
CT,13,0.0,0.0
CT,14,0.0,0.0
CT,15,0.0,0.0
CT,16,0.0,0.0
CT,17,0.0,0.0
CT,18,0.0,0.0
CT,19,0.0,0.0
CT,20,0.0,0.0
CT,21,0.0,0.0
CT,22,0.0,0.0
CT,23,0.0,0.0
CT,24,0.0,0.0
CT,25,0.0,0.0
CT,26,0.0,0.0
CT,27,0.0,0.0
CT,28,0.0,0.0
CT,29,0.0,0.0
CT,30,0.0,0.0
CT,31,0.0,0.0
CT,32,0.0,0.0
CT,33,0.0,0.0
CT,34,0.0,0.0
CT,35,0.0,0.0
CT,36,0.0,0.0
CT,37,0.0,0.0
CT,38,0.0,0.0
CT,39,0.0,0.0
CT,40,0.0,0.0
CT,41,0.0,0.0
CT,42,0.0,0.0
CT,43,0.0,0.0
CT,44,1040.0,0.0
CT,45,11145.0,0.0
CT,46,45261.0,0.0
CT,47,96069.0,0.0
CT,48,94792.0,862.0
CT,49,92923.0,20043.0
CT,50,35488.0,30850.0
CT,51,135465.0,68637.0
CT,52,188558.0,71254.0
CT,53,380761.0,77093.0
CT,54,347956.0,38205.0
CT,55,877543.0,31449.0
CT,56,1414409.0,68006.0
CT,57,655297.0,87068.0
CT,58,344583.0,109453.0
CT,59,154731.0,141441.0
CT,60,82336.0,139938.0
CT,61,100446.0,195163.0
CT,62,34036.0,11323.0
CT,63,34329.0,11337.0
CT,64,24237.0,28557.0
CT,65,17046.0,26417.0
CT,66,21184.0,28498.0
CT,67,1022250.0,204703.0
CT,68,955539.0,265779.0
CT,69,324582.0,183110.0
CT,70,397105.0,148307.0
CT,71,373348.0,167120.0
CT,72,370345.0,166038.0
CT,73,490240.0,242165.0
CT,74,260467.0,213065.0
DL,1,0.0,0.0
DL,2,0.0,0.0
DL,3,0.0,0.0
DL,4,0.0,0.0
DL,5,0.0,0.0
DL,6,0.0,0.0
DL,7,0.0,0.0
DL,8,0.0,0.0
DL,9,0.0,0.0
DL,10,0.0,0.0
DL,11,0.0,0.0
DL,12,0.0,0.0
DL,13,0.0,0.0
DL,14,0.0,0.0
DL,15,0.0,0.0
DL,16,0.0,0.0
DL,17,0.0,0.0
DL,18,0.0,0.0
DL,19,0.0,0.0
DL,20,0.0,0.0
DL,21,0.0,0.0
DL,22,0.0,0.0
DL,23,0.0,0.0
DL,24,0.0,0.0
DL,25,0.0,0.0
DL,26,0.0,0.0
DL,27,0.0,0.0
DL,28,0.0,0.0
DL,29,0.0,0.0
DL,30,0.0,0.0
DL,31,0.0,0.0
DL,32,0.0,0.0
DL,33,0.0,0.0
DL,34,0.0,0.0
DL,35,0.0,0.0
DL,36,0.0,0.0
DL,37,0.0,0.0
DL,38,0.0,0.0
DL,39,0.0,0.0
DL,40,0.0,0.0
DL,41,0.0,0.0
DL,42,0.0,0.0
DL,43,0.0,0.0
DL,44,892.0,0.0
DL,45,11420.0,0.0
DL,46,32446.0,0.0
DL,47,52734.0,0.0
DL,48,80682.0,1967.0
DL,49,112963.0,16306.0
DL,50,76562.0,20459.0
DL,51,59191.0,29532.0
DL,52,71391.0,52494.0
DL,53,80893.0,70747.0
DL,54,99515.0,51811.0
DL,55,532730.0,38432.0
DL,56,493931.0,75593.0
DL,57,415749.0,94245.0
DL,58,274836.0,114710.0
DL,59,216007.0,145011.0
